From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9NTJ3	Q9NTJ3	reviewed	SMC4_HUMAN	Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog)	SMC4 CAPC SMC4L1	Homo sapiens (Human)	1288
Q9NTJ4	Q9NTJ4	reviewed	MA2C1_HUMAN	Alpha-mannosidase 2C1 (EC 3.2.1.24) (Alpha mannosidase 6A8B) (Alpha-D-mannoside mannohydrolase) (Mannosidase alpha class 2C member 1)	MAN2C1 MANA MANA1	Homo sapiens (Human)	1040
Q9NTJ5	Q9NTJ5	reviewed	SAC1_HUMAN	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	SACM1L KIAA0851 SAC1	Homo sapiens (Human)	587
Q9NTM9	Q9NTM9	reviewed	CUTC_HUMAN	Copper homeostasis protein cutC homolog	CUTC CGI-32	Homo sapiens (Human)	273
Q9NTN3	Q9NTN3	reviewed	S35D1_HUMAN	Nucleotide sugar transporter SLC35D1 (Solute carrier family 35 member D1) (UDP-galactose transporter-related protein 7) (UGTrel7) (UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter) (UDP-GlcA/UDP-GalNAc transporter)	SLC35D1 KIAA0260 UGTREL7	Homo sapiens (Human)	355
Q9NTX7	Q9NTX7	reviewed	RN146_HUMAN	E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146)	RNF146	Homo sapiens (Human)	359
Q9NUB1	Q9NUB1	reviewed	ACS2L_HUMAN	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)	ACSS1 ACAS2L KIAA1846	Homo sapiens (Human)	689
Q9NUD9	Q9NUD9	reviewed	PIGV_HUMAN	GPI alpha-1,6-mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Phosphatidylinositol-glycan biosynthesis class V protein) (PIG-V)	PIGV	Homo sapiens (Human)	493
Q9NUI1	Q9NUI1	reviewed	DECR2_HUMAN	Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (pDCR) (EC 1.3.1.124) (2,4-dienoyl-CoA reductase 2) (Short chain dehydrogenase/reductase family 17C member 1)	DECR2 PDCR SDR17C1	Homo sapiens (Human)	292
Q9NUJ1	Q9NUJ1	reviewed	ABHDA_HUMAN	Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)	ABHD10	Homo sapiens (Human)	306
Q9NUN5	Q9NUN5	reviewed	LMBD1_HUMAN	Lysosomal cobalamin transport escort protein LMBD1 (LMBD1) (HDAg-L-interacting protein NESI) (LMBR1 domain-containing protein 1) (Nuclear export signal-interacting protein)	LMBRD1 C6orf209 NESI BM-021 CD001 MSTP044	Homo sapiens (Human)	540
Q9NUN7	Q9NUN7	reviewed	ACER3_HUMAN	Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (EC 3.5.1.23) (Alkaline dihydroceramidase SB89) (Alkaline phytoceramidase) (aPHC)	ACER3 APHC PHCA	Homo sapiens (Human)	267
Q9NUP1	Q9NUP1	reviewed	BL1S4_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 4 (BLOC-1 subunit 4) (Protein cappuccino homolog)	BLOC1S4 CNO	Homo sapiens (Human)	217
Q9NUP7	Q9NUP7	reviewed	TRM13_HUMAN	tRNA:m(4)X modification enzyme TRM13 homolog (EC 2.1.1.225) (Coiled-coil domain-containing protein 76)	TRMT13 CCDC76	Homo sapiens (Human)	481
Q9NUQ2	Q9NUQ2	reviewed	PLCE_HUMAN	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon)	AGPAT5	Homo sapiens (Human)	364
Q9NUT2	Q9NUT2	reviewed	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial ATP-binding cassette 1) (M-ABC1) (Mitochondrial sulfonylurea-receptor) (MITOSUR)	ABCB8 MABC1 MITOSUR	Homo sapiens (Human)	735
Q9NUV7	Q9NUV7	reviewed	SPTC3_HUMAN	Serine palmitoyltransferase 3 (EC 2.3.1.50) (Long chain base biosynthesis protein 2b) (LCB2b) (Long chain base biosynthesis protein 3) (LCB 3) (Serine-palmitoyl-CoA transferase 3) (SPT 3)	SPTLC3 C20orf38 SPTLC2L	Homo sapiens (Human)	552
Q9NUX5	Q9NUX5	reviewed	POTE1_HUMAN	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)	POT1	Homo sapiens (Human)	634
Q9NUZ1	Q9NUZ1	reviewed	ACOXL_HUMAN	Acyl-coenzyme A oxidase-like protein (Acyl-CoA oxidase-like protein) (EC 1.3.3.-)	ACOXL	Homo sapiens (Human)	547
Q9NV06	Q9NV06	reviewed	DCA13_HUMAN	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	DCAF13 WDSOF1 HSPC064	Homo sapiens (Human)	445
Q9NV23	Q9NV23	reviewed	SAST_HUMAN	S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Augmented in rheumatoid arthritis 1) (AURA1) (Oleoyl-ACP hydrolase) (Thioesterase 2) (TE2) (Thioesterase II) (Thioesterase domain-containing protein 1)	OLAH THEDC1	Homo sapiens (Human)	265
Q9NV31	Q9NV31	reviewed	IMP3_HUMAN	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
Q9NV35	Q9NV35	reviewed	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.68) (EC 3.6.1.76) (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	NUDT15 MTH2	Homo sapiens (Human)	164
Q9NV56	Q9NV56	reviewed	MRGBP_HUMAN	MRG/MORF4L-binding protein (MRG-binding protein) (Up-regulated in colon cancer 4) (Urcc4)	MRGBP C20orf20	Homo sapiens (Human)	204
Q9NV66	Q9NV66	reviewed	TYW1_HUMAN	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 (EC 4.1.3.44) (Radical S-adenosyl methionine and flavodoxin domain-containing protein 1) (tRNA wybutosine-synthesizing protein 1 homolog) (tRNA-yW-synthesizing protein)	TYW1 RSAFD1	Homo sapiens (Human)	732
Q9NV70	Q9NV70	reviewed	EXOC1_HUMAN	Exocyst complex component 1 (Exocyst complex component Sec3)	EXOC1 SEC3 SEC3L1 BM-012	Homo sapiens (Human)	894
Q9NV88	Q9NV88	reviewed	INT9_HUMAN	Integrator complex subunit 9 (Int9) (Protein related to CPSF subunits of 74 kDa) (RC-74)	INTS9 RC74	Homo sapiens (Human)	658
Q9NVA1	Q9NVA1	reviewed	UQCC1_HUMAN	Ubiquinol-cytochrome c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog)	UQCC1 BZFB C20orf44 UQCC	Homo sapiens (Human)	299
Q9NVC6	Q9NVC6	reviewed	MED17_HUMAN	Mediator of RNA polymerase II transcription subunit 17 (Activator-recruited cofactor 77 kDa component) (ARC77) (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component) (Trap80) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component) (DRIP80)	MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80	Homo sapiens (Human)	651
Q9NVD7	Q9NVD7	reviewed	PARVA_HUMAN	Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)	PARVA MXRA2	Homo sapiens (Human)	372
Q9NVE7	Q9NVE7	reviewed	PANK4_HUMAN	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	Homo sapiens (Human)	773
Q9NVH1	Q9NVH1	reviewed	DJC11_HUMAN	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559
Q9NVH2	Q9NVH2	reviewed	INT7_HUMAN	Integrator complex subunit 7 (Int7)	INTS7 C1orf73	Homo sapiens (Human)	962
Q9NVH6	Q9NVH6	reviewed	TMLH_HUMAN	Trimethyllysine dioxygenase, mitochondrial (EC 1.14.11.8) (Epsilon-trimethyllysine 2-oxoglutarate dioxygenase) (Epsilon-trimethyllysine hydroxylase) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase) (TML dioxygenase) (TMLD)	TMLHE TMLH	Homo sapiens (Human)	421
Q9NVI1	Q9NVI1	reviewed	FANCI_HUMAN	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328
Q9NVK5	Q9NVK5	reviewed	FGOP2_HUMAN	FGFR1 oncogene partner 2	FGFR1OP2 HSPC123	Homo sapiens (Human)	253
Q9NVM9	Q9NVM9	reviewed	INT13_HUMAN	Integrator complex subunit 13 (Cell cycle regulator Mat89Bb homolog) (Germ cell tumor 1) (Protein asunder homolog) (Sarcoma antigen NY-SAR-95)	INTS13 ASUN C12orf11 GCT1	Homo sapiens (Human)	706
Q9NVR2	Q9NVR2	reviewed	INT10_HUMAN	Integrator complex subunit 10 (Int10)	INTS10 C8orf35	Homo sapiens (Human)	710
Q9NVS9	Q9NVS9	reviewed	PNPO_HUMAN	Pyridoxine-5'-phosphate oxidase (EC 1.4.3.5) (Pyridoxamine-phosphate oxidase)	PNPO	Homo sapiens (Human)	261
Q9NVU0	Q9NVU0	reviewed	RPC5_HUMAN	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 80 kDa polypeptide)	POLR3E KIAA1452	Homo sapiens (Human)	708
Q9NVV4	Q9NVV4	reviewed	PAPD1_HUMAN	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	MTPAP PAPD1	Homo sapiens (Human)	582
Q9NVX0	Q9NVX0	reviewed	HAUS2_HUMAN	HAUS augmin-like complex subunit 2 (Centrosomal protein of 27 kDa) (Cep27)	HAUS2 C15orf25 CEP27	Homo sapiens (Human)	235
Q9NW08	Q9NW08	reviewed	RPC2_HUMAN	DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 127.6 kDa polypeptide) (DNA-directed RNA polymerase III subunit B)	POLR3B	Homo sapiens (Human)	1133
Q9NW13	Q9NW13	reviewed	RBM28_HUMAN	RNA-binding protein 28 (RNA-binding motif protein 28)	RBM28	Homo sapiens (Human)	759
Q9NW38	Q9NW38	reviewed	FANCL_HUMAN	E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein) (Fanconi anemia-associated polypeptide of 43 kDa) (FAAP43) (RING-type E3 ubiquitin transferase FANCL)	FANCL PHF9	Homo sapiens (Human)	375
Q9NW64	Q9NW64	reviewed	RBM22_HUMAN	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	RBM22 ZC3H16 199G4	Homo sapiens (Human)	420
Q9NW81	Q9NW81	reviewed	DMAC2_HUMAN	Distal membrane-arm assembly complex protein 2 (ATP synthase subunit s-like protein)	DMAC2 ATP5SL	Homo sapiens (Human)	257
Q9NW82	Q9NW82	reviewed	WDR70_HUMAN	WD repeat-containing protein 70	WDR70	Homo sapiens (Human)	654
Q9NWA0	Q9NWA0	reviewed	MED9_HUMAN	Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9)	MED9 MED25	Homo sapiens (Human)	146
Q9NWB7	Q9NWB7	reviewed	IFT57_HUMAN	Intraflagellar transport protein 57 homolog (Dermal papilla-derived protein 8) (Estrogen-related receptor beta-like protein 1) (HIP1-interacting protein) (MHS4R2)	IFT57 DERP8 ESRRBL1 HIPPI	Homo sapiens (Human)	429
Q9NWF9	Q9NWF9	reviewed	RN216_HUMAN	E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B)	RNF216 TRIAD3 UBCE7IP1 ZIN	Homo sapiens (Human)	866
Q9NWM0-3	Q9NWM0-3	reviewed	SMOX_HUMAN	Isoform 3 of Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)	SMOX C20orf16 SMO UNQ3039/PRO9854	Homo sapiens (Human)	190
Q9NWM8	Q9NWM8	reviewed	FKB14_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381	Homo sapiens (Human)	211
Q9NWQ8	Q9NWQ8	reviewed	PHAG1_HUMAN	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp)	PAG1 CBP PAG	Homo sapiens (Human)	432
Q9NWR8	Q9NWR8	reviewed	MCUB_HUMAN	Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)	MCUB CCDC109B	Homo sapiens (Human)	336
Q9NWT6	Q9NWT6	reviewed	HIF1N_HUMAN	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)	HIF1AN FIH1	Homo sapiens (Human)	349
Q9NWT8	Q9NWT8	reviewed	AKIP_HUMAN	Small ribosomal subunit protein bS22, mitochondrial (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein) (Small ribosomal subunit protein mS38)	AURKAIP1 AIP AKIP MRPS38	Homo sapiens (Human)	199
Q9NWU2	Q9NWU2	reviewed	GID8_HUMAN	Glucose-induced degradation protein 8 homolog (Two hybrid-associated protein 1 with RanBPM) (Twa1)	GID8 C20orf11 TWA1	Homo sapiens (Human)	228
Q9NWU5	Q9NWU5	reviewed	RM22_HUMAN	Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)	MRPL22 MRPL25 RPML25 HSPC158	Homo sapiens (Human)	206
Q9NWV8	Q9NWV8	reviewed	BABA1_HUMAN	BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)	BABAM1 C19orf62 MERIT40 NBA1 HSPC142	Homo sapiens (Human)	329
Q9NWW6	Q9NWW6	reviewed	NRK1_HUMAN	Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)	NMRK1 C9orf95 NRK1	Homo sapiens (Human)	199
Q9NWX6	Q9NWX6	reviewed	THG1_HUMAN	Probable tRNA(His) guanylyltransferase (EC 2.7.7.79) (Induced in high glucose-1) (IHG-1) (Interphase cytoplasmic foci protein 45) (tRNA-histidine guanylyltransferase)	THG1L ICF45	Homo sapiens (Human)	298
Q9NWZ3	Q9NWZ3	reviewed	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	IRAK4	Homo sapiens (Human)	460
Q9NWZ5	Q9NWZ5	reviewed	UCKL1_HUMAN	Uridine-cytidine kinase-like 1 (EC 2.7.1.48)	UCKL1 URKL1 F538	Homo sapiens (Human)	548
Q9NWZ8	Q9NWZ8	reviewed	GEMI8_HUMAN	Gem-associated protein 8 (Gemin-8) (Protein FAM51A1)	GEMIN8 FAM51A1	Homo sapiens (Human)	242
Q9NX14	Q9NX14	reviewed	NDUBB_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	Homo sapiens (Human)	153
Q9NX18	Q9NX18	reviewed	SDHF2_HUMAN	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	SDHAF2 C11orf79 PGL2 SDH5	Homo sapiens (Human)	166
Q9NX20	Q9NX20	reviewed	RM16_HUMAN	Large ribosomal subunit protein uL16m (39S ribosomal protein L16, mitochondrial) (L16mt) (MRP-L16)	MRPL16 PNAS-111	Homo sapiens (Human)	251
Q9NX24	Q9NX24	reviewed	NHP2_HUMAN	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
Q9NX46	Q9NX46	reviewed	ADPRS_HUMAN	ADP-ribosylhydrolase ARH3 (ADP-ribose glycohydrolase ARH3) (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	Homo sapiens (Human)	363
Q9NX62	Q9NX62	reviewed	IMPA3_HUMAN	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)	BPNT2 IMPA3 IMPAD1	Homo sapiens (Human)	359
Q9NX63	Q9NX63	reviewed	MIC19_HUMAN	MICOS complex subunit MIC19 (Coiled-coil-helix-coiled-coil-helix domain-containing protein 3)	CHCHD3 MIC19 MINOS3	Homo sapiens (Human)	227
Q9NX70	Q9NX70	reviewed	MED29_HUMAN	Mediator of RNA polymerase II transcription subunit 29 (Intersex-like protein) (Mediator complex subunit 29)	MED29 IXL	Homo sapiens (Human)	200
Q9NX74	Q9NX74	reviewed	DUS2_HUMAN	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.91) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)	DUS2 DUS2L	Homo sapiens (Human)	493
Q9NXA8	Q9NXA8	reviewed	SIR5_HUMAN	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)	SIRT5 SIR2L5	Homo sapiens (Human)	310
Q9NXB0	Q9NXB0	reviewed	MKS1_HUMAN	Tectonic-like complex member MKS1 (Meckel syndrome type 1 protein)	MKS1	Homo sapiens (Human)	559
Q9NXB9	Q9NXB9	reviewed	ELOV2_HUMAN	Very long chain fatty acid elongase 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Elongation of very long chain fatty acids protein 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)	ELOVL2 ELG3 SSC2	Homo sapiens (Human)	296
Q9NXC5	Q9NXC5	reviewed	MIOS_HUMAN	GATOR2 complex protein MIOS (Missing oocyte meiosis regulator homolog)	MIOS	Homo sapiens (Human)	875
Q9NXD2	Q9NXD2	reviewed	MTMRA_HUMAN	Myotubularin-related protein 10 (Inactive phosphatidylinositol 3-phosphatase 10)	MTMR10	Homo sapiens (Human)	777
Q9NXE4	Q9NXE4	reviewed	NSMA3_HUMAN	Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)	SMPD4 KIAA1418 SKNY	Homo sapiens (Human)	866
Q9NXE8	Q9NXE8	reviewed	CWC25_HUMAN	Pre-mRNA-splicing factor CWC25 homolog (Coiled-coil domain-containing protein 49) (Spliceosome-associated protein homolog CWC25)	CWC25 CCDC49	Homo sapiens (Human)	425
Q9NXF1	Q9NXF1	reviewed	TEX10_HUMAN	Testis-expressed protein 10	TEX10 L18 Nbla10363	Homo sapiens (Human)	929
Q9NXG2	Q9NXG2	reviewed	THUM1_HUMAN	THUMP domain-containing protein 1	THUMPD1	Homo sapiens (Human)	353
Q9NXH9	Q9NXH9	reviewed	TRM1_HUMAN	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA methyltransferase 1) (hTRM1) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)	TRMT1	Homo sapiens (Human)	659
Q9NXR1	Q9NXR1	reviewed	NDE1_HUMAN	Nuclear distribution protein nudE homolog 1 (NudE)	NDE1 NUDE	Homo sapiens (Human)	335
Q9NXR7	Q9NXR7	reviewed	BABA2_HUMAN	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)	BABAM2 BRCC45 BRE	Homo sapiens (Human)	383
Q9NXR8	Q9NXR8	reviewed	ING3_HUMAN	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	418
Q9NY12	Q9NY12	reviewed	GAR1_HUMAN	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	GAR1 NOLA1	Homo sapiens (Human)	217
Q9NY25	Q9NY25	reviewed	CLC5A_HUMAN	C-type lectin domain family 5 member A (C-type lectin superfamily member 5) (Myeloid DAP12-associating lectin 1) (MDL-1)	CLEC5A CLECSF5 MDL1	Homo sapiens (Human)	188
Q9NY27	Q9NY27	reviewed	PP4R2_HUMAN	Serine/threonine-protein phosphatase 4 regulatory subunit 2	PPP4R2 SBBI57	Homo sapiens (Human)	417
Q9NY30	Q9NY30	reviewed	BTG4_HUMAN	Protein BTG4 (BTG family member 4) (Protein PC3b)	BTG4 PC3B	Homo sapiens (Human)	223
Q9NY33	Q9NY33	reviewed	DPP3_HUMAN	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)	DPP3	Homo sapiens (Human)	737
Q9NY37	Q9NY37	reviewed	ASIC5_HUMAN	Bile acid-sensitive ion channel (BASIC) (Acid-sensing ion channel subunit family member 5) (Amiloride-sensitive cation channel 5, intestinal) (Human intestine Na(+) channel) (HINaC)	ASIC5 ACCN5	Homo sapiens (Human)	505
Q9NY47	Q9NY47	reviewed	CA2D2_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-2 (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]	CACNA2D2 KIAA0558	Homo sapiens (Human)	1150
Q9NY61	Q9NY61	reviewed	AATF_HUMAN	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
Q9NYA1	Q9NYA1	reviewed	SPHK1_HUMAN	Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-)	SPHK1 SK1 SPHK SPK	Homo sapiens (Human)	384
Q9NYB0	Q9NYB0	reviewed	TE2IP_HUMAN	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)	TERF2IP DRIP5 RAP1 PP8000	Homo sapiens (Human)	399
Q9NYF0	Q9NYF0	reviewed	DACT1_HUMAN	Dapper homolog 1 (hDPR1) (Dapper antagonist of catenin 1) (Hepatocellular carcinoma novel gene 3 protein)	DACT1 DPR1 HNG3	Homo sapiens (Human)	836
Q9NYG5	Q9NYG5	reviewed	APC11_HUMAN	Anaphase-promoting complex subunit 11 (APC11) (Cyclosome subunit 11) (Hepatocellular carcinoma-associated RING finger protein)	ANAPC11 HSPC214	Homo sapiens (Human)	84
Q9NYG8	Q9NYG8	reviewed	KCNK4_HUMAN	Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (K2P4.1) (Two pore K(+) channel KT4.1)	KCNK4 TRAAK	Homo sapiens (Human)	393
Q9NYH9	Q9NYH9	reviewed	UTP6_HUMAN	U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein)	UTP6 C17orf40 HCA66 MHAT	Homo sapiens (Human)	597
Q9NYJ7	Q9NYJ7	reviewed	DLL3_HUMAN	Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3)	DLL3	Homo sapiens (Human)	618
Q9NYJ8	Q9NYJ8	reviewed	TAB2_HUMAN	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)	TAB2 KIAA0733 MAP3K7IP2	Homo sapiens (Human)	693
Q9NYK1	Q9NYK1	reviewed	TLR7_HUMAN	Toll-like receptor 7	TLR7 UNQ248/PRO285	Homo sapiens (Human)	1049
Q9NYK5	Q9NYK5	reviewed	RM39_HUMAN	Large ribosomal subunit protein mL39 (39S ribosomal protein L39, mitochondrial) (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5)	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22	Homo sapiens (Human)	338
Q9NYL5	Q9NYL5	reviewed	CP39A_HUMAN	24-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.26) (Cytochrome P450 39A1) (hCYP39A1) (Oxysterol 7-alpha-hydroxylase)	CYP39A1	Homo sapiens (Human)	469
